question,http_status,request_error,explain_enabled,status_status,status_reason,status_message,chosen_intent,chosen_entity,planner_score,gate_accepted,gate_source,gate_reason,gate_min_score,gate_min_gap,gate_gap,score_for_gate,intent_top2_gap_base,intent_top2_gap_final,intent_top1,intent_top2,scoring_mode,scoring_keys,rows_total,result_key,cache_hit,cache_hit_response,cache_hit_metrics,cache_layer,cache_ttl,cache_key,rag_used,fusion_used,elapsed_ms_server,elapsed_ms_total_est,elapsed_ms_client,narrator_used,narrator_latency_ms,narrator_error,answer_text,expected_intent,expected_entity,match_intent,match_entity,match_both,suite_name,suite_description,payload_id,idx,fail_reasons,case_pass
última leitura da carteira vs CDI,200,,True,,ok,ok,client_fiis_performance_vs_benchmark_summary,client_fiis_performance_vs_benchmark_summary,9.899999999999999,True,base,,0.8,0.1,9.899999999999999,9.899999999999999,9.899999999999999,9.899999999999999,client_fiis_performance_vs_benchmark_summary,macro_consolidada,list:final_combined,combined;entity;entity_top_telemetry;final_combined;intent;intent_top2_gap_base;intent_top2_gap_final;rag_hint;rag_signal;thresholds_applied,0,client_fiis_performance_vs_benchmark_summary,False,False,,response,,,True,False,258,258.0,608.855,False,,,Nenhum dado de performance vs benchmark encontrado para sua carteira.,client_fiis_performance_vs_benchmark_summary,client_fiis_performance_vs_benchmark_summary,True,True,True,client_fiis_performance_vs_benchmark_summary,Suíte SQL-only gerada a partir de perguntas existentes para client_fiis_performance_vs_benchmark_summary.,client_fiis_performance_vs_benchmark_summary-q2,11,['status_not_ok'],False
performance acumulada da carteira contra o IBOV,200,,True,,ok,ok,client_fiis_performance_vs_benchmark_summary,client_fiis_performance_vs_benchmark_summary,2.2,True,base,,0.8,0.1,3.3000000000000003,2.2,0.0,0.0,client_fiis_performance_vs_benchmark,client_fiis_performance_vs_benchmark_summary,list:final_combined,combined;entity;entity_top_telemetry;final_combined;intent;intent_top2_gap_base;intent_top2_gap_final;rag_hint;rag_signal;thresholds_applied,0,client_fiis_performance_vs_benchmark_summary,False,False,,response,,,True,False,278,278.0,412.859,False,,,Nenhum dado de performance vs benchmark encontrado para sua carteira.,client_fiis_performance_vs_benchmark_summary,client_fiis_performance_vs_benchmark_summary,True,True,True,client_fiis_performance_vs_benchmark_summary,Suíte SQL-only gerada a partir de perguntas existentes para client_fiis_performance_vs_benchmark_summary.,client_fiis_performance_vs_benchmark_summary-q3,12,['status_not_ok'],False
Como está distribuída a carteira de FIIs por setor ou classe de ativo?,200,,True,,ok,ok,client_fiis_positions,client_fiis_positions,2.75,True,base,,0.8,0.1,2.2,2.75,2.2,2.2,client_fiis_positions,carteira_enriquecida,list:final_combined,combined;entity;entity_top_telemetry;final_combined;intent;intent_top2_gap_base;intent_top2_gap_final;rag_hint;rag_signal;thresholds_applied,0,positions,False,False,,response,,,True,False,248,248.0,394.151,False,,,Sem posições disponíveis.,client_fiis_positions,client_fiis_positions,True,True,True,client_fiis_positions,Suíte SQL-only gerada a partir de perguntas existentes para client_fiis_positions.,client_fiis_positions-q1,13,['status_not_ok'],False
Quais posições aumentaram ou reduziram desde o último período de referência?,200,,True,,ok,ok,fiis_rankings,fiis_rankings,1.1,True,base,,1.0,0.2,1.1,1.1,0.0,0.0,client_fiis_performance_vs_benchmark_summary,client_fiis_positions,list:final_combined,combined;entity;entity_top_telemetry;final_combined;intent;intent_top2_gap_base;intent_top2_gap_final;rag_hint;rag_signal;thresholds_applied,0,rankings_fii,False,False,,response,86400,araquem:dev-20251030:cfg-4b3f1d4e:pub:fiis_rankings:plan:dd86d6f6fbe409322353cfef2d33d1cae3fe8fb10aa3a49a13f9d5ee8bd95133,True,False,208,208.0,378.096,False,,,Sem rankings disponíveis.,client_fiis_positions,client_fiis_positions,False,False,False,client_fiis_positions,Suíte SQL-only gerada a partir de perguntas existentes para client_fiis_positions.,client_fiis_positions-q2,14,"['status_not_ok', 'entity_mismatch']",False
Existe concentração relevante em um único FII ou em poucos emissores?,200,,True,,gated,Blocked by threshold: low_score,ticker_query,fiis_precos,-0.55,False,base,low_score,0.9,0.05,-0.55,-0.55,1.1,1.1,fiis_noticias,carteira_enriquecida,list:final_combined,combined;entity;entity_top_telemetry;final_combined;intent;intent_top2_gap_base;intent_top2_gap_final;rag_hint;rag_signal;thresholds_applied,0,,False,False,,response,86400,araquem:dev-20251030:cfg-4b3f1d4e:pub:fiis_precos:plan:44f14ae98291ef48af2a1d54d88e54d91c921b56b96f9d0339edacaa2eec973a,True,False,187,187.0,190.912,,,,"Não consegui decidir com segurança entre rotas possíveis (low_score | Blocked by threshold: low_score). Tente reformular especificando o que precisa (ex.: risco, dividendos, preços, cadastro/segmento). Possíveis rotas: fiis_noticias (0.550), carteira_enriquecida (-0.550), client_fiis_dividends_evolution (-0.550).",client_fiis_positions,client_fiis_positions,False,False,False,client_fiis_positions,Suíte SQL-only gerada a partir de perguntas existentes para client_fiis_positions.,client_fiis_positions-q3,15,"['status_not_ok', 'entity_mismatch']",False
Qual foi o DY mensal do {{ticker}} em {{mês/ano}}?,200,,True,,ok,ok,fiis_yield_history,fiis_yield_history,3.8499999999999996,True,base,,0.9,0.15,3.3,3.8499999999999996,3.3,3.3,fiis_yield_history,client_fiis_dividends_evolution,list:final_combined,combined;entity;entity_top_telemetry;final_combined;intent;intent_top2_gap_base;intent_top2_gap_final;rag_hint;rag_signal;thresholds_applied,0,yield_history,False,False,,response,86400,araquem:dev-20251030:cfg-4b3f1d4e:pub:fiis_yield_history:plan:dfa68373dd2b003620472dce25449aefa95763f46040b563d4bad70e90fd1045,True,False,187,187.0,296.114,False,,,Nenhum registro encontrado.,dividendos_yield,dividendos_yield,False,False,False,dividendos_yield,Suíte SQL-only gerada a partir de perguntas existentes para dividendos_yield.,dividendos_yield-q1,16,"['status_not_ok', 'entity_mismatch']",False
Mostre dividendos e dividend yield do {{ticker}} nos últimos 12 meses.,200,,True,,ok,ok,fiis_yield_history,fiis_yield_history,4.949999999999999,True,base,,0.9,0.15,4.3999999999999995,4.949999999999999,4.3999999999999995,4.3999999999999995,fiis_yield_history,dividendos_yield,list:final_combined,combined;entity;entity_top_telemetry;final_combined;intent;intent_top2_gap_base;intent_top2_gap_final;rag_hint;rag_signal;thresholds_applied,0,yield_history,False,False,,response,86400,araquem:dev-20251030:cfg-4b3f1d4e:pub:fiis_yield_history:plan:dfa68373dd2b003620472dce25449aefa95763f46040b563d4bad70e90fd1045,True,False,224,224.0,321.529,False,,,Nenhum registro encontrado.,dividendos_yield,dividendos_yield,False,False,False,dividendos_yield,Suíte SQL-only gerada a partir de perguntas existentes para dividendos_yield.,dividendos_yield-q2,17,"['status_not_ok', 'entity_mismatch']",False
Quanto o {{ticker}} pagou em dividendos no mês passado?,200,,True,,ok,ok,fiis_dividendos,fiis_dividendos,2.2,True,base,,0.9,0.15,1.1,2.2,1.1,1.1,fiis_dividendos,client_fiis_dividends_evolution,list:final_combined,combined;entity;entity_top_telemetry;final_combined;intent;intent_top2_gap_base;intent_top2_gap_final;rag_hint;rag_signal;thresholds_applied,0,dividendos_fii,False,False,,response,86400,araquem:dev-20251030:cfg-4b3f1d4e:pub:fiis_dividendos:plan:732514be3d4ddda1d81e7c4936546d27e5ea55b0860da5b270993305228bfac1,True,False,229,229.0,330.136,False,,,Nenhum registro encontrado.,dividendos_yield,dividendos_yield,False,False,False,dividendos_yield,Suíte SQL-only gerada a partir de perguntas existentes para dividendos_yield.,dividendos_yield-q3,18,"['status_not_ok', 'entity_mismatch']",False
resumo do HGLG11,200,,True,,ok,ok,fii_overview,fii_overview,7.699999999999999,True,base,,1.0,0.2,6.6,7.699999999999999,6.6,6.6,fii_overview,client_fiis_performance_vs_benchmark_summary,list:final_combined,combined;entity;entity_top_telemetry;final_combined;intent;intent_top2_gap_base;intent_top2_gap_final;rag_hint;rag_signal;thresholds_applied,1,fii_overview,False,False,,response,86400,araquem:dev-20251030:cfg-4b3f1d4e:pub:fii_overview:plan:67a6bbe39e001a2c0f4c4f0ca7624e849c271575df1d1e87a7d1c7b4cee22f17,True,False,294,294.0,417.405,False,,,"### Overview do HGLG11

- Nome: **Pátria Log Fundo Investimento Imobiliário Responsabilidade Ltda**
- Classificação e gestão: **Tijolo / Ativa**
- Setor e subsetor: **Imóveis Industriais e Logísticos / Multicategoria**
- DY mensal / 12m: **0,70% / 8,38%**

| Código | Nome | Classificação | Setor | Subsetor | Tipo de gestão | DY mensal (%) | DY 12m (%) | Último dividendo (R$) | Último pagamento | Valor de mercado (R$) | Atualizado em |
| --- | --- | --- | --- | --- | --- | ---: | ---: | ---: | --- | ---: | --- |
| HGLG11 | Pátria Log Fundo Investimento Imobiliário Responsabilidade Ltda | Tijolo | Imóveis Industriais e Logísticos | Multicategoria | Ativa | 0,70% | 8,38% | R$ 1,10 | 2025-12-12 00:00:00 | R$ 6.634.211.404,00 | 2025-12-31 00:00:00 |

**Detalhes**

| Código | Mercado-alvo | Exclusivo | Dividendos 12m (R$) | P/BV | PL por cota (R$) | Receita por cota | Payout (%) | Taxa de crescimento | Cap rate | Alavancagem | Patrimônio líquido (R$) | Nº de cotas | Nº de cotistas | Variação mês (%) | Variação ano (%) | Volatilidade | Sharpe | Sortino | Máx. drawdown | Peso IFIX (%) | Peso IFIL (%) | Rank usuários | Rank Sírios | Rank IFIX | Rank IFIL | Rank DY 12m | Rank DY mensal | Rank dividendos 12m | Rank valor de mercado | Rank patrimônio líquido | Snapshot criado em | Indicadores de risco criados em | Indicadores de risco atualizados em | Rankings atualizados em |
| --- | --- | --- | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | --- | --- | --- | --- |
| HGLG11 | Investidores Em Geral | Não | R$ 13,20 | 121,90% | 129.256 | 4.947 | 0,00% | 33.169 | 0.000 | 0,23 | 5481068156.00 | 42404675 | 40600112.01 | 2,77% | 9,04% | 1,49 | -0,98 | -0,09 | 8,66% | 3,71% | 4,21% | 0 | 0 | 4 | 4 | 261 | 309 | 61 | 4 | 4 | 2024-05-22 00:00:00 | 2024-05-22 00:00:00 | 2025-12-31 00:00:00 | 2025-12-31 00:00:00 |",fii_overview,fii_overview,True,True,True,fii_overview,Suíte SQL-only gerada a partir de perguntas existentes para fii_overview.,fii_overview-q1,19,['status_not_ok'],False
como está o KNRI11 hoje?,200,,True,,ok,ok,fiis_precos,fiis_precos,4.4,True,base,,0.9,0.05,3.3000000000000003,4.4,3.3000000000000003,3.3000000000000003,fiis_precos,fiis_noticias,list:final_combined,combined;entity;entity_top_telemetry;final_combined;intent;intent_top2_gap_base;intent_top2_gap_final;rag_hint;rag_signal;thresholds_applied,1,precos_fii,False,False,,response,86400,araquem:dev-20251030:cfg-4b3f1d4e:pub:fiis_precos:plan:e6c4425bcbb58046232f50cc9b43dd79eb6189ce72d7fec591cf2adbbf6ddd9c,True,False,273,273.0,347.266,False,,,"| Data | Código | Preço de fechamento (R$) | Preço ajustado (R$) | Abertura (R$) | Máxima (R$) | Mínima (R$) | Variação diária (%) | Criado em | Atualizado em |
| --- | --- | ---: | ---: | ---: | ---: | ---: | ---: | --- | --- |
| 30/12/2025 | KNRI11 | R$ 153,80 | 153.80 | R$ 159,50 | R$ 159,58 | R$ 153,80 | -3,57% | 2025-12-31 00:00:00 | 2025-12-31 00:00:00 |",fii_overview,fii_overview,False,False,False,fii_overview,Suíte SQL-only gerada a partir de perguntas existentes para fii_overview.,fii_overview-q2,20,"['status_not_ok', 'entity_mismatch']",False
me dê um overview do MXRF11,200,,True,,ok,ok,fii_overview,fii_overview,7.699999999999999,True,base,,1.0,0.2,6.6,7.699999999999999,6.6,6.6,fii_overview,carteira_enriquecida,list:final_combined,combined;entity;entity_top_telemetry;final_combined;intent;intent_top2_gap_base;intent_top2_gap_final;rag_hint;rag_signal;thresholds_applied,1,fii_overview,False,False,,response,86400,araquem:dev-20251030:cfg-4b3f1d4e:pub:fii_overview:plan:9e2c0fa2da2190c7d02c8809f42130600b271b1c4583e80d0963285580f1d5d2,True,False,223,223.0,324.992,False,,,"### Overview do MXRF11

- Nome: **Maxi Renda Fundo Investimento Imobiliario FII**
- Classificação e gestão: **Papel / Ativa**
- Setor e subsetor: **Títulos e Valores Mobiliários / Logística**
- DY mensal / 12m: **1,05% / 12,26%**

| Código | Nome | Classificação | Setor | Subsetor | Tipo de gestão | DY mensal (%) | DY 12m (%) | Último dividendo (R$) | Último pagamento | Valor de mercado (R$) | Atualizado em |
| --- | --- | --- | --- | --- | --- | ---: | ---: | ---: | --- | ---: | --- |
| MXRF11 | Maxi Renda Fundo Investimento Imobiliario FII | Papel | Títulos e Valores Mobiliários | Logística | Ativa | 1,05% | 12,26% | R$ 0,10 | 2025-12-12 00:00:00 | R$ 4.390.971.326,00 | 2025-12-31 00:00:00 |

**Detalhes**

| Código | Mercado-alvo | Exclusivo | Dividendos 12m (R$) | P/BV | PL por cota (R$) | Receita por cota | Payout (%) | Taxa de crescimento | Cap rate | Alavancagem | Patrimônio líquido (R$) | Nº de cotas | Nº de cotistas | Variação mês (%) | Variação ano (%) | Volatilidade | Sharpe | Sortino | Máx. drawdown | Peso IFIX (%) | Peso IFIL (%) | Rank usuários | Rank Sírios | Rank IFIX | Rank IFIL | Rank DY 12m | Rank DY mensal | Rank dividendos 12m | Rank valor de mercado | Rank patrimônio líquido | Snapshot criado em | Indicadores de risco criados em | Indicadores de risco atualizados em | Rankings atualizados em |
| --- | --- | --- | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | ---: | --- | --- | --- | --- |
| MXRF11 | Investidores Em Geral | Não | R$ 1,17 | 105,70% | 9.025 | 0.070 | 0,00% | 5.043 | 0.000 | 0,01 | 4154120032.00 | 460269531 | 45172971.18 | 1,07% | 15,96% | 1,28 | -1,63 | -0,13 | 9,89% | 2,90% | 3,29% | 0 | 0 | 7 | 7 | 154 | 171 | 275 | 7 | 7 | 2024-05-22 00:00:00 | 2024-05-22 00:00:00 | 2025-12-31 00:00:00 | 2025-12-31 00:00:00 |",fii_overview,fii_overview,True,True,True,fii_overview,Suíte SQL-only gerada a partir de perguntas existentes para fii_overview.,fii_overview-q3,21,['status_not_ok'],False
qual o CNPJ do HGLG11?,200,,True,,ok,ok,fiis_cadastro,fiis_cadastro,10.999999999999998,True,base,,1.0,0.2,10.999999999999998,10.999999999999998,9.899999999999999,9.899999999999999,fiis_cadastro,ticker_query,list:final_combined,combined;entity;entity_top_telemetry;final_combined;intent;intent_top2_gap_base;intent_top2_gap_final;rag_hint;rag_signal;thresholds_applied,1,cadastro_fii,False,False,,response,86400,araquem:dev-20251030:cfg-4b3f1d4e:pub:fiis_cadastro:plan:aca622bb7137e79032cf90201f59831df0b1fe3383a61cd02c341d700aacbcc0,True,False,220,220.0,368.021,False,,,"**HGLG11 — Pátria Log Fundo Investimento Imobiliário Responsabilidade Ltda**

- CNPJ do fundo: **11.728.688/0001-47**
- Nome de pregão (B3): **FII HGLG Pax**
- Classificação / gestão: **Tijolo / Ativa**
- Setor / Subsetor: **Imóveis Industriais e Logísticos / Multicategoria**
- Público-alvo: **Investidores Em Geral**
- Fundo exclusivo: **Não**
- Código ISIN: **BRHGLGCTF004**
- Data de IPO: **2010-05-03 00:00:00**
- Site oficial: **[Acessar site](https://www.bancogenial.com/)**- Administrador: **Banco Genial S.A.**
- CNPJ do administrador: **45.246.410/0001-55**
- Custodiante: **Banco Genial S.A.**
- Peso no IFIX / IFIL: **3,71% / 4,21%**
- Nº de cotas / cotistas: **42404675 / 40600112.01**- Criado em: **2024-05-22 00:00:00**
- Atualizado em: **2025-12-31 00:00:00**",fiis_cadastro,fiis_cadastro,True,True,True,fiis_cadastro,Suíte SQL-only gerada a partir de perguntas existentes para fiis_cadastro.,fiis_cadastro-q1,22,['status_not_ok'],False
quem administra o VISC11?,200,,True,,ok,ok,fiis_cadastro,fiis_cadastro,3.3,True,base,,1.0,0.2,3.3,3.3,2.1999999999999997,2.1999999999999997,fiis_cadastro,ticker_query,list:final_combined,combined;entity;entity_top_telemetry;final_combined;intent;intent_top2_gap_base;intent_top2_gap_final;rag_hint;rag_signal;thresholds_applied,1,cadastro_fii,False,False,,response,86400,araquem:dev-20251030:cfg-4b3f1d4e:pub:fiis_cadastro:plan:4c96f1228b861248cd1652d6261c337f3006dacb265903215ade25677980c28d,True,False,282,282.0,419.399,False,,,"**VISC11 — Vinci Shopping Centers Fundo Invest Imobiliario FII**

- CNPJ do fundo: **17.554.274/0001-25**
- Nome de pregão (B3): **FII Vinci Sc**
- Classificação / gestão: **Tijolo / Ativa**
- Setor / Subsetor: **Shoppings / Shoppings**
- Público-alvo: **Investidores Em Geral**
- Fundo exclusivo: **Não**
- Código ISIN: **BRVISCCTF005**
- Data de IPO: **2013-08-07 00:00:00**
- Site oficial: **[Acessar site](https://www.apexgroup.com/apex-brazil/)**- Administrador: **Brl Trust Dtvm S.A.**
- CNPJ do administrador: **13.486.793/0001-42**
- Custodiante: **Brl Trust Dtvm S.A.**
- Peso no IFIX / IFIL: **2,19% / 2,49%**
- Nº de cotas / cotistas: **28828640 / 23417562.73**- Criado em: **2024-05-22 00:00:00**
- Atualizado em: **2025-12-31 00:00:00**",fiis_cadastro,fiis_cadastro,True,True,True,fiis_cadastro,Suíte SQL-only gerada a partir de perguntas existentes para fiis_cadastro.,fiis_cadastro-q2,23,['status_not_ok'],False
